x;y
0.0739125;-0.294564
-0.0259175;-0.0488712
0.0918377;-0.4746
0.0416774;-0.172199
-0.182631;0.313741
0.0722002;-0.0469159
-0.126527;0.130933
-0.0449019;0.0382038
0.0689578;-0.55029
-0.138854;-0.122496
0.139626;0.0269149
-0.0810282;-0.079162
0.122241;-0.991024
0.17753;0.0777531
-0.0641121;-0.247805
0.0532316;-0.102308
-0.132116;-0.375816
-0.224816;-0.0655231
0.0702165;-0.0303616
0.106732;-0.154217
-0.0425925;0.366018
0.0304369;-0.615738
0.0748009;0.0477549
-0.187082;-0.00071345
0.104887;0.239302
-0.113152;0.0917066
-0.149869;0.313046
0.0784578;-0.454128
-0.0994144;0.332358
-0.00764323;0.0767789
-0.312037;-0.0689128
0.132328;-0.504092
-0.110078;-0.182386
0.0775978;-0.234212
0.0862525;0.250951
0.0753453;-0.193298
-0.0178975;-0.26166
0.352625;0.673979
0.0613178;-0.543704
0.0137663;0.026231
0.50601;0.12077
0.152627;-0.922258
-0.189881;-0.0132435
-0.091862;0.276938
-0.0357926;-0.216354
-0.0936543;-0.194607
0.640287;0.41657
-0.147388;-0.0461313
0.634424;0.35651
-0.0511368;0.204581
-0.0878;0.243199
-0.025327;-0.405632
-0.121995;0.373967
0.134312;-0.142759
-0.167189;0.0378598
0.0469733;-0.358625
-0.249883;0.363955
0.116704;-0.121571
-0.182194;-0.140566
-0.260821;0.268245
0.164252;-0.768253
0.141386;-1.01822
-0.0260844;0.352515
-0.126947;-0.433521
0.104038;0.34771
-0.00449098;-0.0270713
-0.167415;0.268766
-0.176031;0.0463852
-0.246753;-0.21475
0.0973676;-0.247301
0.00734247;-0.119406
-0.0609593;-0.0641015
-0.141652;0.328739
0.00557426;-0.431404
0.348857;0.634765
0.691647;0.292153
0.0146591;0.326609
0.767949;0.218699
-0.211236;0.0555402
-0.190943;0.0754379
-0.0612711;0.438631
0.0852;-0.236301
0.0478079;0.450525
-0.0980523;-0.24372
-0.0150923;-0.0266409
0.0456412;0.271608
0.0925323;0.372871
-0.122277;-0.398434
0.0911505;-0.551439
-0.154975;-0.164136
0.0937285;-0.320866
-0.0149923;-0.258084
0.0371253;-0.52529
0.0252963;-0.209244
-0.198065;0.0590945
0.083024;-0.219778
0.0867033;0.917344
0.0334677;-0.122527
0.0529988;-0.128009
0.690905;0.345571
-0.126932;0.151381
-0.111041;0.151471
-0.219598;0.084822
-0.0124753;0.369596
0.315361;0.591291
-0.0632401;-0.390888
-0.169823;-0.00421188
-0.14623;0.270593
-0.129072;0.394182
-0.0530609;0.103045
-0.187437;0.070623
-0.188606;0.0519186
-0.0736308;0.150388
0.0262742;-0.115555
0.101821;-0.510817
-0.255267;-0.11846
-0.0762401;0.1153
0.0130277;0.235018
-0.0735133;-0.274594
-0.0673824;0.262877
-0.112435;0.314368
0.0403006;-0.0723395
0.0696111;-0.359578
-0.0592994;-0.0148644
-0.0343391;0.448957
0.143349;0.876383
0.118575;-0.431386
0.428565;0.615857
0.163383;-0.511553
0.0499677;0.00178516
0.177416;-0.133003
0.4416;0.275767
0.103014;-0.234275
-0.0302275;0.217415
-0.0615681;0.400834
0.0702801;-0.0952269
-0.115101;-0.357121
0.596046;0.0564785
-0.125252;0.136422
0.505554;0.459588
-0.171671;0.249566
0.0284933;0.034403
-0.0614191;0.0145862
-0.148665;0.124656
-0.100757;0.103033
-0.172881;0.194729
-0.0875374;0.0718538
-0.268705;-0.439388
-0.133381;-0.0602292
-0.211878;0.419593
-0.138495;0.163849
-0.112328;0.435099
-0.104672;-0.44557
-0.119935;-0.840638
0.115572;-0.0290458
-0.116285;-0.236737
-0.153377;0.25148
-0.180249;0.138126
0.199798;-0.477635
-0.16436;0.151233
-0.0925521;0.118544
0.116379;-0.283662
-0.0367443;-0.150601
0.0372324;0.209983
0.0467522;-0.0393054
-0.16149;-0.0827507
0.144784;-0.318147
-0.0615523;0.481135
-0.251484;0.267631
-0.108195;0.119533
-0.0922137;0.232476
-0.0635623;-0.351489
-0.110679;-0.299727
0.732715;0.269564
-0.161037;-0.00188839
0.0895816;-0.360296
0.0950593;-0.222489
-0.0892634;0.569839
-0.162119;-0.0140658
0.190411;-0.160062
-0.0264029;0.495683
0.608754;0.343984
-0.27901;-0.0902269
-0.0517813;-0.151296
0.126755;0.309383
0.00630562;-0.256755
-0.0538102;-0.191871
-0.113558;0.0455899
0.0982667;0.151151
-0.0474039;-0.184947
-0.00463798;0.740106
-0.0355866;-0.109214
-0.133397;0.163343
-0.0128207;0.199332
0.0463461;-0.00722275
-0.0873939;-0.022886
-0.0579156;0.215571
0.143597;-0.269301
-0.109846;0.318766
0.0741402;-0.0199932
-0.0139929;-0.102218
0.575611;0.201537
0.0250994;-0.649589
-0.0601556;-0.33639
0.144975;-0.614856
-0.108995;0.154256
-0.141172;0.103054
0.0179421;0.466563
-0.071276;0.364048
0.473498;0.24766
0.003001;-0.387534
-0.0420751;0.0205234
-0.0197017;-0.165211
0.679471;0.285723
-0.00700653;-0.0244552
-0.134085;0.0586713
-0.0517793;0.489393
0.534655;0.447876
-0.0817101;0.0647572
-0.106486;0.242225
-0.0233207;0.226113
-0.0238852;-0.229621
-0.123809;0.313661
-0.0472622;-0.22859
0.018938;-0.167303
0.994685;-0.610698
-0.31784;0.114415
-0.0794036;0.401772
0.165752;-0.569046
-0.261674;0.420444
-0.100724;-0.180977
0.03664;-0.101453
-0.0952703;0.076308
-0.114877;0.310756
0.0382247;-0.136862
-0.225514;0.297043
-0.0243741;-0.404579
-0.0502932;-0.324362
0.0270399;0.150642
-0.0319264;-0.0980436
-0.0770505;0.00425387
0.188335;0.250632
-0.0228146;0.322599
0.119657;-0.366319
0.0229696;-0.38037
-0.0911035;0.428857
0.178854;-0.379655
-0.194237;-0.26868
-0.214975;0.0577024
-0.178624;0.379466
-0.181872;-0.121576
-0.0793313;-0.334874
-0.138936;0.183505
0.109447;-0.195396
-0.137839;-0.0262675
-0.234582;-0.258108
-0.137254;0.379121
0.54619;0.107176
0.595458;0.0849175
-0.190235;0.354374
-0.183452;0.126991
-0.128988;0.101398
-0.0277926;0.165996
0.0446832;-0.397753
-0.00297729;-0.464911
0.0481282;0.0976651
-0.0282877;0.0640414
-0.188233;-0.0120049
0.320782;0.687205
0.0403005;-0.244707
0.609451;0.360736
0.50231;0.479618
0.0836454;-0.470707
0.0217614;-0.207216
0.0427933;-0.173545
0.303474;0.709759
-0.196737;0.296939
-0.0500007;-0.31919
-0.0444308;-0.41426
-0.185888;0.413793
0.0544137;-0.340881
0.224333;-0.260576
-0.114212;0.328894
-0.170842;0.00652479
-0.0591215;-0.18203
-0.0476295;-0.004796
0.0489496;-0.645351
-0.151948;-0.233649
0.316319;-0.754319
-0.0737049;0.150751
-0.0565577;0.210392
-0.0199581;-0.0879516
-0.142607;-0.0413905
-0.230914;0.292631
-0.119338;0.221952
-0.177028;0.150087
-0.185545;0.472083
-0.0513312;0.19651
-0.174021;-0.0611108
-0.0665945;0.0432546
-0.0186949;-0.33917
-0.00640787;-0.665913
0.131077;-0.768195
-0.182033;0.0754228
-0.0893343;-0.246286
-0.0039778;-0.266654
-0.0916281;0.255793
0.0816113;0.428996
-0.216968;-0.087719
-0.130562;-0.257069
-0.0456212;-0.406953
-0.154608;0.250108
-0.033468;-0.306063
-0.162073;0.274665
-0.0540524;0.0823955
-0.0511562;-0.413824
-0.252937;0.151641
-0.0205947;0.00340324
0.058726;0.0436841
-0.132932;0.201947
0.0400933;-0.615984
-0.067955;-0.308474
-0.230996;0.0399947
-0.198416;0.286895
-0.000991834;0.0370461
-0.145913;-0.0579476
-0.170406;-0.0907598
-0.136402;-0.232967
-0.16889;0.411288
-0.0423178;0.0397282
0.610064;0.477193
0.35328;-0.653989
0.275634;0.738233
-0.160449;0.172628
0.0496593;-0.00695529
0.0484743;0.166322
-0.111131;-0.25205
-0.0116284;-0.883389
-0.0418085;0.349922
0.0736605;-0.0446501
-0.0454659;0.0548464
-0.115056;0.288583
-0.0781734;0.523347
-0.00506203;-0.0713307
0.133561;-1.04617
-0.058076;0.373819
0.00197996;0.092848
-0.111917;0.257388
0.057299;-0.544544
0.0153072;-0.06523
0.0453958;-0.226018
-0.215839;-0.111789
-0.054171;-0.0567623
0.569594;0.27407
-0.0581122;-0.446814
-0.219866;0.0214215
-0.0139496;-0.279755
-0.179613;0.0221372
-0.280286;-0.237626
-0.199451;0.270784
0.0459943;-0.405909
-0.144819;0.382756
0.601513;0.397774
-0.281847;0.073865
-0.131227;-0.0849108
-0.0936819;0.288555
0.0770052;-0.954422
-0.142156;0.158568
-0.0936779;0.0491761
0.0410503;-0.111678
-0.0962739;0.0851301
0.011762;0.00499757
0.334145;0.600586
0.0556159;-0.025174
0.00324481;-0.0485601
-0.0118101;-0.134861
-0.136084;-0.21793
-0.167805;0.312472
-0.009079;0.313049
-0.012025;0.15593
0.149016;-0.0119024
-0.0276186;-0.551647
0.0396225;-0.195219
0.281943;-1.00278
0.0499841;-0.644495
0.246786;0.688561
-0.113491;0.0273831
0.0338474;-0.158581
-0.0620107;-0.555996
-0.0783943;-0.0138796
0.136978;-0.288295
-0.00848537;-0.13023
0.026941;-0.584985
0.305891;0.717093
0.153012;0.247507
-0.0170238;-0.0624916
-0.158084;-0.453194
-0.0121665;0.036296
-0.0672645;0.352632
0.109014;-0.155562
0.07654;-0.524392
0.0340471;0.496843
-0.109756;0.0637034
-0.000893797;-0.226757
