x;y;z
1.4346248;0.5271396;-0.32410398
-0.07788767;2.2100136;-0.06763193
1.0224534;-0.08149075;-0.15171923
2.9556365;0.58273375;-0.21540812
1.0889412;2.1281533;0.70286936
-0.057753343;0.38674876;-1.1759436
1.3131953;1.2430782;0.3835033
1.698353;0.55525196;-0.27155927
1.9730607;3.9902909;0.25293908
-0.18564491;0.22001423;-1.276219
-0.20551594;1.8307905;-0.42781064
-0.112895;0.18117592;-0.9530173
-0.09108692;0.14397483;-0.35236564
0.0131407725;0.3255883;-0.8515575
2.5719593;0.8139766;-0.88924694
-0.9094366;1.2848201;1.5022622
-0.02124517;0.63458747;-1.3230027
1.6730888;0.6827437;-0.41607317
0.3018472;-1.5136106;1.3087567
-0.21914764;0.4982049;-1.8402308
1.2890081;2.8629692;0.11623472
1.3187363;0.86960995;0.17872472
1.7191018;0.9018386;-0.76331735
-0.4779953;2.25428;-0.22947231
-1.2685801;0.43026718;0.88799703
1.5849588;1.955075;-0.19125968
-1.3650508;0.42092916;0.989086
-0.17912419;0.9891938;-0.13713935
1.9486638;0.39249185;-0.090207994
1.7980701;0.81401294;-1.1149917
1.7586507;1.2128896;0.44319952
-0.29607353;0.160674;-0.78919333
-0.10729052;1.831609;-0.1360982
0.16936024;0.14321971;-1.1849394
3.079098;2.120721;0.7497967
0.074376516;0.08083203;-0.7897755
1.241836;3.0566618;-0.041914076
1.8805186;3.4407856;0.861004
-0.2678665;0.30216056;-1.6337131
0.11399579;0.57663196;-2.2581513
-0.07641798;0.533944;-0.07535875
2.756155;1.4021237;-1.1790324
-0.060000133;-0.08081862;-0.18424913
1.7263687;0.6013613;-0.52031916
1.468033;1.481366;0.30912107
-0.027759094;1.9399918;-0.11515835
1.7456337;3.367617;-0.19129798
-0.041866023;0.08586737;-0.9970955
-0.27452332;1.0592632;-0.5431513
-0.12797697;1.0398979;-0.48349866
2.0775557;1.3150903;0.37325686
0.07464995;0.3746876;-1.257048
1.2373451;-0.73134965;3.1340878
-1.3410349;0.20012793;0.646642
1.7827007;0.33727586;0.04145135
-1.4450831;0.18490362;0.5442653
2.1290634;2.190142;0.011571018
1.1548826;2.8928869;0.3636381
2.9220026;0.1327641;0.35669503
-0.099728614;0.07429921;-0.9681805
0.9434392;-0.16980942;1.2286769
-0.39630178;2.544379;-0.2563405
1.7384177;0.57516426;-0.5197167
1.8423699;0.3427114;0.059781224
1.7021694;0.41941333;0.2704413
2.7804546;1.294879;-1.1244359
-0.106286034;0.29794633;-1.3660603
-0.1285333;1.9385582;-0.39248958
0.072455466;0.31438777;-1.0724496
-0.62993044;2.28475;-0.29730344
1.625967;0.868874;-1.3092915
2.0116713;0.7603219;-0.74480826
1.815509;1.8662455;-0.048381895
-0.08296533;0.40390882;-0.8841782
1.3482802;4.126814;5.345055
0.2653762;0.1167277;-0.8814083
-0.09704225;0.33277458;-0.74364465
-1.3172693;0.3710573;0.70340145
1.3351747;1.6543008;0.15050933
-0.017290864;0.9866729;-0.21328321
0.1505564;1.959475;-0.09321356
1.7436668;0.11546188;0.04942304
-0.89345086;1.3504701;1.3299675
0.34759542;0.505639;-1.2308456
0.878273;2.5089648;0.12576917
1.1553861;2.1598008;0.57580566
1.5402656;1.4467938;0.5495677
-0.25173634;1.0648043;-0.22354174
1.7700429;1.5892644;-0.11061168
1.8484336;1.66678;-0.14605251
-0.074198544;0.9556683;-0.20588169
0.25566792;0.2589355;-0.8700434
-0.08296715;0.19557334;-1.3172001
0.07652344;2.2375922;-0.28574142
2.2650652;0.703965;-0.25906074
2.0763927;0.6340886;0.17603867
2.4153798;1.1446525;-0.8828078
-0.3840085;1.5580704;0.20549394
1.3360897;1.5046556;0.42630675
-0.26237464;0.77350456;-0.55196995
1.4464806;0.54132605;-1.068211
1.9386207;0.6255918;-0.48649535
-0.10705988;0.38603938;-0.0006980803
0.39600077;3.4848378;3.8367493
-0.1312422;0.14457396;-1.2006352
0.23860118;-0.021527775;2.4205675
-0.2878004;0.23609662;-1.2380502
0.029923942;0.30081186;-0.61053735
-0.30884507;-0.11577924;-0.66904634
0.7483962;-1.6190664;1.2011194
-0.22011754;-0.05391241;-0.8602541
1.6432207;0.22910452;-0.14117539
-0.09117961;0.74188614;0.045089424
-0.030482281;0.20522107;-0.774178
0.5067688;0.5189679;-1.2175387
-0.5885107;-0.757097;0.2880153
-0.04024202;0.89934987;-0.25788364
-0.3706773;0.08745035;1.9396225
